traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value,timeStamp
f40aaadebf4dc085,f40aaadebf4dc085,nginx-web-server,/wrk2-api/user/register,1635326802266000,1635326802266,4879,string,sampler.type,const,bool,sampler.param,true,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,19,string,peer.address,172.21.0.1:55256,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,,,,,,,2021-10-27 09:26:42.266000
f40aaadebf4dc085,993d38a44144f9b8,nginx-web-server,/wrk2-api/user/register,1635326802266489,1635326802266,4389,string,component,nginx,string,nginx.worker_pid,19,string,peer.address,172.21.0.1:55256,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,f40aaadebf4dc085,f40aaadebf4dc085,,,,2021-10-27 09:26:42.266489
f40aaadebf4dc085,80531b31f77b9fd3,nginx-web-server,RegisterUser,1635326802266613,1635326802266,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,993d38a44144f9b8,f40aaadebf4dc085,,,,2021-10-27 09:26:42.266613
f40aaadebf4dc085,d91bdd91b917526f,user-service,RegisterUserWithId,1635326802266892,1635326802266,3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,80531b31f77b9fd3,f40aaadebf4dc085,,,,2021-10-27 09:26:42.266892
f40aaadebf4dc085,b7a68baf948e5c98,user-service,MongoInsertUser,1635326802269357,1635326802269,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d91bdd91b917526f,f40aaadebf4dc085,,,,2021-10-27 09:26:42.269357
f40aaadebf4dc085,108a6d3115b1fcc2,social-graph-service,InsertUser,1635326802269940,1635326802269,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d91bdd91b917526f,f40aaadebf4dc085,,,,2021-10-27 09:26:42.269940
f40aaadebf4dc085,231b6a82446ba068,social-graph-service,MongoInsertUser,1635326802269971,1635326802269,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,108a6d3115b1fcc2,f40aaadebf4dc085,,,,2021-10-27 09:26:42.269971
474659cd3c7235a5,474659cd3c7235a5,nginx-web-server,/wrk2-api/user-timeline/read,1635326802278000,1635326802278,9762,string,sampler.type,const,bool,sampler.param,true,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,15,string,peer.address,172.21.0.1:55262,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=659&start=0&stop=5000,string,http.host,localhost:8080,,,,,,,2021-10-27 09:26:42.278000
474659cd3c7235a5,2f39a94ed7f4857c,nginx-web-server,/wrk2-api/user-timeline/read,1635326802278872,1635326802278,8890,string,component,nginx,string,nginx.worker_pid,15,string,peer.address,172.21.0.1:55262,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=659&start=0&stop=5000,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,474659cd3c7235a5,474659cd3c7235a5,,,,2021-10-27 09:26:42.278872
474659cd3c7235a5,d53d0c2540be0ef3,nginx-web-server,ReadUserTimeline,1635326802279798,1635326802279,25232984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2f39a94ed7f4857c,474659cd3c7235a5,,,,2021-10-27 09:26:42.279798
