traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags,references,references.0.refType,references.0.spanID,references.0.traceID
aa3061dbfe79063,d57d899b6cadac4,nginx-web-server,register_client,1669361909583910,1669361909583,94669,,,CHILD_OF,cc81dc5c515c003b,aa3061dbfe79063
2cbbe46541582e09,df5bee35bb25774f,nginx-web-server,register_client,1669361909584087,1669361909584,83549,,,CHILD_OF,6903ff672a7079b7,2cbbe46541582e09
2fbcacd84286a3a4,98b78aa8b0c94a38,nginx-web-server,register_client,1669361909584343,1669361909584,89579,,,CHILD_OF,a4e05e5f851c9c7b,2fbcacd84286a3a4
2fc4161fbf48ce1f,d5eb542a7e0181e0,nginx-web-server,register_client,1669361909584459,1669361909584,226215,,,CHILD_OF,9100e71ed80eb561,2fc4161fbf48ce1f
2b6c39cacba807b8,d557c6d123a243f6,nginx-web-server,register_client,1669361909585087,1669361909585,87327,,,CHILD_OF,6a9785f536a24e76,2b6c39cacba807b8
f54e209db037d5,c5fcc7addbcd479,nginx-web-server,register_client,1669361909585873,1669361909585,84400,,,CHILD_OF,d23515a8289bb184,f54e209db037d5
3329f5885617adcb,9d0bc6a8082abcd0,nginx-web-server,register_client,1669361909586107,1669361909586,214997,,,CHILD_OF,50c95783bb8d7f92,3329f5885617adcb
291cfe3e23e1374,d583330cd81af0b8,nginx-web-server,register_client,1669361909586469,1669361909586,219334,,,CHILD_OF,b775ffea213d4eef,291cfe3e23e1374
5ddaacf7ad865ad,fd4fbb48d7ae91e3,nginx-web-server,register_client,1669361909586708,1669361909586,195272,,,CHILD_OF,b71c5407c3440204,5ddaacf7ad865ad
ab5da400dd04cb0,ed50b9d8d5a20c39,nginx-web-server,register_client,1669361909586851,1669361909586,80454,,,CHILD_OF,911f2c7849de58a8,ab5da400dd04cb0
2ce3899e1b2d1a2d,18abbcec535fec21,nginx-web-server,register_client,1669361909591524,1669361909591,127097,,,CHILD_OF,abe9ef1f92e5774a,2ce3899e1b2d1a2d
