Node,traceID,nodeID,node_pair,StartTime,Timestamp
2497,304b3d7cb9aabd5e,70a6422170921903,"(44, 45)",1669540964031785,2022-11-27 09:22:44.031785
2499,304b3d7cb9aabd5e,5c37ec1b4412154a,"(45, 46)",1669540964031891,2022-11-27 09:22:44.031891
2500,304b3d7cb9aabd5e,4b8990938c97ba8a,"(46, 47)",1669540964031900,2022-11-27 09:22:44.031900
2498,304b3d7cb9aabd5e,86504414bcf4f06c,"(44, 48)",1669540964032218,2022-11-27 09:22:44.032218
2501,25884c0fec40efea,dbef5a85b1a0f7c,"(0, 18)",1669540964095000,2022-11-27 09:22:44.095000
2502,25884c0fec40efea,b1e505c3b0950fc,"(18, 18)",1669540964095661,2022-11-27 09:22:44.095661
2503,25884c0fec40efea,c0d3103705f8196,"(18, 19)",1669540964095773,2022-11-27 09:22:44.095773
2504,25884c0fec40efea,ee80b2836f7d8427,"(19, 20)",1669540964095997,2022-11-27 09:22:44.095997
2505,25884c0fec40efea,d1264e5e9e530e4f,"(20, 23)",1669540964096096,2022-11-27 09:22:44.096096
2506,25884c0fec40efea,9a0b81a25abfa0f1,"(20, 26)",1669540964096145,2022-11-27 09:22:44.096145
2507,25884c0fec40efea,1e8e1e0938c1c4ac,"(20, 21)",1669540964096172,2022-11-27 09:22:44.096172
2508,25884c0fec40efea,14d54c0b84890fe7,"(20, 22)",1669540964096215,2022-11-27 09:22:44.096215
2512,25884c0fec40efea,3e5ec9d0e6cbfb3,"(23, 27)",1669540964096268,2022-11-27 09:22:44.096268
2513,25884c0fec40efea,b298f36ee2e9c57b,"(26, 28)",1669540964096312,2022-11-27 09:22:44.096312
2515,25884c0fec40efea,5f50bb91d32803fd,"(22, 24)",1669540964096531,2022-11-27 09:22:44.096531
2514,25884c0fec40efea,249e1d93a589d8bf,"(21, 25)",1669540964096636,2022-11-27 09:22:44.096636
2516,25884c0fec40efea,c5331ef0c70cfc45,"(27, 30)",1669540964096665,2022-11-27 09:22:44.096665
2517,25884c0fec40efea,c12589d46efcdb70,"(27, 29)",1669540964096717,2022-11-27 09:22:44.096717
2518,25884c0fec40efea,483328b17db5d017,"(30, 33)",1669540964096822,2022-11-27 09:22:44.096822
2520,25884c0fec40efea,3e80d6c13763ee61,"(33, 34)",1669540964096835,2022-11-27 09:22:44.096835
2519,25884c0fec40efea,cef12523d7c167b7,"(29, 31)",1669540964096840,2022-11-27 09:22:44.096840
2522,25884c0fec40efea,2cffcffaa43aeb11,"(31, 32)",1669540964096914,2022-11-27 09:22:44.096914
2521,25884c0fec40efea,a7a02aa6a2d88870,"(33, 35)",1669540964097697,2022-11-27 09:22:44.097697
2509,25884c0fec40efea,5055e483e5e82065,"(20, 36)",1669540964099370,2022-11-27 09:22:44.099370
2523,25884c0fec40efea,2f51cce22546682d,"(36, 37)",1669540964099498,2022-11-27 09:22:44.099498
2524,25884c0fec40efea,f1abe000b076587,"(37, 38)",1669540964099523,2022-11-27 09:22:44.099523
2510,25884c0fec40efea,c05a27aff4531266,"(20, 39)",1669540964100117,2022-11-27 09:22:44.100117
2525,25884c0fec40efea,5ca6648289d87072,"(39, 40)",1669540964100219,2022-11-27 09:22:44.100219
2526,25884c0fec40efea,600ceb93ad069d17,"(40, 41)",1669540964100243,2022-11-27 09:22:44.100243
2527,25884c0fec40efea,89fbf0addf439bdb,"(40, 42)",1669540964100864,2022-11-27 09:22:44.100864
2511,25884c0fec40efea,36fc27b087544830,"(20, 43)",1669540964101120,2022-11-27 09:22:44.101120
2528,25884c0fec40efea,25e0085449c77b9d,"(43, 44)",1669540964101256,2022-11-27 09:22:44.101256
2529,25884c0fec40efea,70a6422170921903,"(44, 45)",1669540964101261,2022-11-27 09:22:44.101261
2531,25884c0fec40efea,5c37ec1b4412154a,"(45, 46)",1669540964101393,2022-11-27 09:22:44.101393
2532,25884c0fec40efea,4b8990938c97ba8a,"(46, 47)",1669540964101402,2022-11-27 09:22:44.101402
2530,25884c0fec40efea,86504414bcf4f06c,"(44, 48)",1669540964101704,2022-11-27 09:22:44.101704
2533,4bac388d1741257,19cd819d0568141f,"(0, 3)",1669540964103000,2022-11-27 09:22:44.103000
